scene,panel,shot_type,duration_seconds,director_note,continuity_lock
Flagship Demo Scene,1,Wide establishing shot,4,A silent studio door glows in the dark.,character/style/axis locked
Flagship Demo Scene,2,Insert shot,4,A screenplay page catches projector light.,character/style/axis locked
Flagship Demo Scene,3,Medium tracking,4,The filmmaker reaches toward the door.,character/style/axis locked
Flagship Demo Scene,4,Wide reveal,4,The page becomes a living movie set.,character/style/axis locked
Flagship Demo Scene,5,Over shoulder,4,A character steps out of the written scene.,character/style/axis locked
Flagship Demo Scene,6,Overhead plan,4,Camera geography and 180-degree axis appear.,character/style/axis locked
Flagship Demo Scene,7,Emotional close-up,4,Fear turns into creative certainty.,character/style/axis locked
Flagship Demo Scene,8,Dolly push-in,4,The frame tightens as the choice becomes clear.,character/style/axis locked
Flagship Demo Scene,9,Review card,4,A prompt correction protects character and style.,character/style/axis locked
Flagship Demo Scene,10,Matched close-up,4,The same shot returns more cinematic.,character/style/axis locked
Flagship Demo Scene,11,Timeline view,4,The still frames begin to move.,character/style/axis locked
Flagship Demo Scene,12,Audio cue,4,"Dialogue, music, and SFX find the beat.",character/style/axis locked
Flagship Demo Scene,13,Export moment,4,"Storyboard, shot list, prompts, and QA assemble.",character/style/axis locked
Flagship Demo Scene,14,Pitch frame,4,The production-ready package is ready to share.,character/style/axis locked
Flagship Demo Scene,15,Hero wide,4,The filmmaker watches the story become cinema.,character/style/axis locked
Flagship Demo Scene,16,Title card,4,Script to storyboard to animatic to production package.,character/style/axis locked
